file_name,tract_name,color,superficial_network,striatal_network,projection_network,commissural_network,cerebellar_network,association_network,language_network,attention_network,executive_network,socialemotional_network,somatomotor_network,memory_network
T_CC7.vtp,corpus callosum VII,#fdefb1,,,,1,,,,,,,,
T_CR-F_left.vtp,corona-radiata-frontal (excluding the CST) (left),#10256c,,,1,,,,,,,,,
T_CR-F_right.vtp,corona-radiata-frontal (excluding the CST) (right),#10256c,,,1,,,,,,,,,
T_CR-P_left.vtp,corona-radiata-parietal (excluding the CST) (left),#225ea8,,,1,,,,,,,,,
T_CR-P_right.vtp,corona-radiata-parietal (excluding the CST) (right),#225ea8,,,1,,,,,,,,,
T_CST_left.vtp,cortico-spinal-tract (left),#2a9dc0,,,1,,,,,,,,1,
T_CST_right.vtp,cortico-spinal-tract (right),#2a9dc0,,,1,,,,,,,,1,
T_PLIC_left.vtp,posterior limb of internal capsule (left),#9ed8b7,,,1,,,,,,,,,
T_PLIC_right.vtp,posterior limb of internal capsule (right),#9ed8b7,,,1,,,,,,,,,
T_TF_left.vtp,thalamo-frontal (left),#c7e9b4,,,1,,,,,,,,,
T_TF_right.vtp,thalamo-frontal (right),#c7e9b4,,,1,,,,,,,,,
T_TO_left.vtp,thalamo-occipital (left),#f0f9b7,,,1,,,,,,,,,
T_TO_right.vtp,thalamo-occipital (right),#f0f9b7,,,1,,,,,,,,,
T_TP_left.vtp,thalamo-parietal (left),#feffd9,,,1,,,,,,,,,
T_TP_right.vtp,thalamo-parietal (right),#feffd9,,,1,,,,,,,,,
T_EC_left.vtp,external capsule (left),#ff0fee,,1,,,,,,,,,,
T_EC_right.vtp,external capsule (right),#ff0fee,,1,,,,,,,,,,
T_SF_left.vtp,striato-frontal (left),#ff7984,,1,,,,,,,,,,
T_SF_right.vtp,striato-frontal (right),#ff7984,,1,,,,,,,,,,
T_SO_left.vtp,striato-occipital (left),#ffaf4e,,1,,,,,,,,,,
T_SO_right.vtp,striato-occipital (right),#ffaf4e,,1,,,,,,,,,,
T_SP_left.vtp,striato-parietal (left),#ffed11,,1,,,,,,,,,,
T_SP_right.vtp,striato-parietal (right),#ffed11,,1,,,,,,,,,,
T_Sup-F_left.vtp,superficial-frontal (left),#e41a1b,1,,,,,,,,,,,
T_Sup-FP_left.vtp,superficial-frontal-parietal (left),#377eb7,1,,,,,,,,,,,
T_Sup-FP_right.vtp,superficial-frontal-parietal (right),#377eb7,1,,,,,,,,,,,
T_Sup-F_right.vtp,superficial-frontal (right),#e41a1b,1,,,,,,,,,,,
T_Sup-O_left.vtp,superficial-occipital (left),#4daf4a,1,,,,,,,,,,,
T_Sup-O_right.vtp,superficial-occipital (right),#4daf4a,1,,,,,,,,,,,
T_Sup-OT_left.vtp,superficial-occipital-temporal (left),#984ea3,1,,,,,,,,,,,
T_Sup-OT_right.vtp,superficial-occipital-temporal (right),#984ea3,1,,,,,,,,,,,
T_Sup-P_left.vtp,superficial-parietal (left),#ff7f00,1,,,,,,,,,,,
T_Sup-PO_left.vtp,superficial-parietal-occipital (left),#feff33,1,,,,,,,,,,,
T_Sup-PO_right.vtp,superficial-parietal-occipital (right),#feff33,1,,,,,,,,,,,
T_Sup-P_right.vtp,superficial-parietal (right),#ff7f00,1,,,,,,,,,,,
T_Sup-PT_left.vtp,superficial-parietal-temporal (left),#f880bf,1,,,,,,,,,,,
T_Sup-PT_right.vtp,superficial-parietal-temporal (right),#f880bf,1,,,,,,,,,,,
T_Sup-T_left.vtp,superficial-temporal (left),#999999,1,,,,,,,,,,,
T_Sup-T_right.vtp,superficial-temporal (right),#999999,1,,,,,,,,,,,
